"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2006","17.39","17.51","17.56","17.28","11.30M","-1.14%"
"Nov 30, 2006","17.59","17.49","17.72","17.45","14.43M","0.46%"
"Nov 29, 2006","17.51","17.05","17.51","17.05","22.25M","3.30%"
"Nov 28, 2006","16.95","16.89","17.03","16.70","12.31M","0.47%"
"Nov 27, 2006","16.87","16.93","17.12","16.74","12.19M","-0.82%"
"Nov 24, 2006","17.01","16.85","17.14","16.83","10.39M","0.24%"
"Nov 23, 2006","16.97","17.19","17.19","16.94","6.33M","-0.53%"
"Nov 22, 2006","17.06","17.14","17.24","16.76","14.56M","0.00%"
"Nov 21, 2006","17.06","16.74","17.06","16.65","20.45M","2.16%"
"Nov 17, 2006","16.70","16.57","16.70","16.45","19.68M","-0.71%"
"Nov 16, 2006","16.82","17.23","17.31","16.81","18.08M","-1.64%"
"Nov 14, 2006","17.10","16.99","17.26","16.87","16.44M","1.00%"
"Nov 13, 2006","16.93","17.05","17.15","16.87","15.75M","-2.76%"
"Nov 10, 2006","17.41","17.20","17.45","16.99","14.75M","1.46%"
"Nov 09, 2006","17.16","17.28","17.47","17.05","20.21M","0.06%"
"Nov 08, 2006","17.15","16.68","17.15","16.59","13.81M","2.02%"
"Nov 07, 2006","16.81","16.85","17.06","16.74","12.27M","-0.71%"
"Nov 06, 2006","16.93","16.64","16.93","16.60","10.59M","2.05%"
"Nov 03, 2006","16.59","16.32","16.59","16.29","11.03M","1.78%"
"Nov 01, 2006","16.30","16.28","16.47","16.16","13.36M","-1.27%"
"Oct 31, 2006","16.51","16.43","16.54","16.22","12.41M","1.16%"
"Oct 30, 2006","16.32","16.49","16.53","16.29","10.48M","-1.27%"
"Oct 27, 2006","16.53","16.57","16.80","16.51","10.27M","-0.54%"
"Oct 26, 2006","16.62","16.66","16.82","16.44","14.35M","0.00%"
"Oct 25, 2006","16.62","16.10","16.65","16.05","19.90M","3.29%"
"Oct 24, 2006","16.09","15.71","16.12","15.64","14.46M","2.42%"
"Oct 23, 2006","15.71","15.68","15.72","15.47","15.64M","-0.44%"
"Oct 20, 2006","15.78","16.05","16.09","15.66","13.01M","-1.62%"
"Oct 19, 2006","16.04","15.66","16.06","15.66","10.58M","1.91%"
"Oct 18, 2006","15.74","16.03","16.11","15.69","14.10M","-0.82%"
"Oct 17, 2006","15.87","16.11","16.16","15.87","11.83M","-1.79%"
"Oct 16, 2006","16.16","15.99","16.17","15.82","15.56M","1.06%"
"Oct 13, 2006","15.99","15.93","16.05","15.82","12.41M","2.37%"
"Oct 11, 2006","15.62","15.68","15.76","15.55","12.93M","-1.01%"
"Oct 10, 2006","15.78","15.64","15.81","15.56","14.16M","0.64%"
"Oct 09, 2006","15.68","15.36","15.91","15.31","19.42M","1.62%"
"Oct 06, 2006","15.43","15.26","15.47","15.17","12.52M","0.26%"
"Oct 05, 2006","15.39","15.63","15.73","15.26","19.88M","-0.06%"
"Oct 04, 2006","15.40","14.99","15.40","14.71","26.11M","3.36%"
"Oct 03, 2006","14.90","15.41","15.45","14.88","17.92M","-4.18%"
"Oct 02, 2006","15.55","15.74","15.87","15.54","14.06M","-0.19%"
"Sep 29, 2006","15.58","15.63","15.64","15.44","10.46M","-0.06%"
"Sep 28, 2006","15.59","15.33","15.73","15.33","15.94M","1.30%"
"Sep 27, 2006","15.39","15.05","15.39","14.92","18.20M","2.53%"
"Sep 26, 2006","15.01","14.76","15.11","14.74","18.60M","2.11%"
"Sep 25, 2006","14.70","14.63","14.78","14.26","20.03M","0.41%"
"Sep 22, 2006","14.64","14.78","14.99","14.63","12.84M","-1.35%"
"Sep 21, 2006","14.84","14.90","15.04","14.67","19.91M","-0.07%"
"Sep 20, 2006","14.85","15.28","15.40","14.68","17.92M","-2.81%"
"Sep 19, 2006","15.28","15.57","15.68","15.20","16.81M","-2.11%"
"Sep 18, 2006","15.61","15.22","15.61","15.13","19.54M","3.58%"
"Sep 15, 2006","15.07","15.32","15.39","14.86","19.71M","-0.72%"
"Sep 14, 2006","15.18","15.63","15.74","15.18","13.44M","-2.88%"
"Sep 13, 2006","15.63","15.36","15.81","15.13","21.17M","2.83%"
"Sep 12, 2006","15.20","15.32","15.43","14.95","20.99M","0.07%"
"Sep 11, 2006","15.19","15.64","15.64","15.09","22.30M","-3.98%"
"Sep 08, 2006","15.82","16.16","16.22","15.76","12.99M","-2.71%"
"Sep 06, 2006","16.26","16.66","16.68","16.26","12.10M","-2.87%"
"Sep 05, 2006","16.74","16.87","16.93","16.70","9.35M","-1.30%"
"Sep 04, 2006","16.96","16.89","17.05","16.74","7.59M","0.65%"
"Sep 01, 2006","16.85","16.62","16.93","16.53","10.37M","2.06%"
"Aug 31, 2006","16.51","16.70","16.76","16.40","11.57M","-0.24%"
"Aug 30, 2006","16.55","16.62","16.68","16.26","10.23M","-0.12%"
"Aug 29, 2006","16.57","16.76","16.88","16.44","7.46M","-1.13%"
"Aug 28, 2006","16.76","16.70","16.80","16.61","9.29M","-0.53%"
"Aug 25, 2006","16.85","16.78","16.85","16.64","6.09M","1.38%"
"Aug 24, 2006","16.62","16.52","16.78","16.25","12.88M","1.03%"
"Aug 23, 2006","16.45","16.97","17.01","16.43","10.75M","-3.18%"
"Aug 22, 2006","16.99","17.07","17.16","16.91","10.58M","-0.23%"
"Aug 21, 2006","17.03","17.19","17.30","17.03","12.14M","-1.16%"
"Aug 18, 2006","17.23","17.04","17.23","16.90","9.53M","1.17%"
"Aug 17, 2006","17.03","17.35","17.39","16.93","11.51M","-2.07%"
"Aug 16, 2006","17.39","17.46","17.52","17.30","14.29M","0.23%"
"Aug 15, 2006","17.35","17.16","17.54","17.05","11.91M","2.00%"
"Aug 14, 2006","17.01","17.43","17.51","16.99","10.04M","-2.41%"
"Aug 11, 2006","17.43","17.61","17.72","17.36","8.00M","-0.74%"
"Aug 10, 2006","17.56","17.49","17.66","17.39","8.87M","-0.23%"
"Aug 09, 2006","17.60","17.85","17.91","17.54","11.01M","-0.79%"
"Aug 08, 2006","17.74","17.76","17.86","17.64","8.56M","-0.11%"
"Aug 07, 2006","17.76","17.60","17.81","17.46","7.23M","1.25%"
"Aug 04, 2006","17.54","17.80","17.88","17.45","11.51M","-0.51%"
"Aug 03, 2006","17.63","17.47","17.75","17.36","8.99M","0.51%"
"Aug 02, 2006","17.54","17.33","17.59","17.32","9.70M","1.50%"
"Aug 01, 2006","17.28","17.12","17.36","17.05","15.43M","0.23%"
"Jul 31, 2006","17.24","17.22","17.33","17.20","5.40M","-0.40%"
"Jul 28, 2006","17.31","17.24","17.38","17.10","7.74M","0.76%"
"Jul 27, 2006","17.18","17.07","17.28","16.99","8.34M","1.24%"
"Jul 26, 2006","16.97","16.85","17.08","16.78","6.67M","0.47%"
"Jul 25, 2006","16.89","16.70","16.95","16.55","9.55M","0.96%"
"Jul 24, 2006","16.73","16.34","16.78","16.12","7.35M","3.78%"
"Jul 21, 2006","16.12","16.36","16.47","16.09","6.86M","-0.86%"
"Jul 20, 2006","16.26","16.78","16.94","16.26","8.80M","-2.98%"
"Jul 19, 2006","16.76","16.32","16.76","16.17","13.67M","3.08%"
"Jul 18, 2006","16.26","16.36","16.54","15.86","11.79M","0.12%"
"Jul 17, 2006","16.24","16.87","17.00","16.18","17.53M","-4.36%"
"Jul 14, 2006","16.98","16.80","17.02","16.78","12.50M","1.43%"
"Jul 13, 2006","16.74","16.70","16.82","16.59","9.14M","-0.48%"
"Jul 12, 2006","16.82","16.80","17.02","16.76","12.51M","0.06%"
"Jul 11, 2006","16.81","16.35","16.84","16.20","14.97M","2.75%"
"Jul 10, 2006","16.36","16.44","16.49","16.21","7.54M","-0.43%"
"Jul 07, 2006","16.43","16.68","16.68","16.32","11.99M","-0.84%"
"Jul 06, 2006","16.57","16.55","16.66","16.45","13.04M","0.85%"
"Jul 05, 2006","16.43","16.43","16.60","16.17","12.81M","-1.44%"
"Jul 04, 2006","16.67","16.74","16.85","16.57","5.25M","-0.42%"
"Jul 03, 2006","16.74","16.51","16.85","16.30","13.69M","0.97%"
"Jun 30, 2006","16.58","16.60","16.83","16.44","13.58M","0.42%"
"Jun 29, 2006","16.51","15.98","16.51","15.97","14.44M","3.90%"
"Jun 28, 2006","15.89","15.66","15.90","15.66","9.52M","1.92%"
"Jun 27, 2006","15.59","15.76","15.99","15.59","6.15M","-1.08%"
"Jun 26, 2006","15.76","15.80","15.85","15.63","8.03M","0.00%"
"Jun 23, 2006","15.76","15.44","15.95","15.23","11.01M","1.74%"
"Jun 22, 2006","15.49","15.55","15.71","15.36","6.43M","-0.19%"
"Jun 21, 2006","15.52","15.16","15.68","14.93","11.43M","2.85%"
"Jun 20, 2006","15.09","15.10","15.38","14.99","10.29M","-0.07%"
"Jun 19, 2006","15.10","15.55","15.59","14.87","17.54M","-2.39%"
"Jun 16, 2006","15.47","15.21","15.64","14.95","16.20M","5.74%"
"Jun 14, 2006","14.63","14.15","14.63","13.98","25.73M","4.43%"
"Jun 13, 2006","14.01","14.40","14.59","13.94","22.35M","-3.98%"
"Jun 12, 2006","14.59","15.28","15.36","14.59","14.75M","-3.51%"
"Jun 09, 2006","15.12","15.81","15.89","15.12","16.32M","-2.26%"
"Jun 08, 2006","15.47","15.54","15.63","14.84","18.60M","-0.64%"
"Jun 07, 2006","15.57","16.41","16.41","15.57","17.68M","-4.71%"
"Jun 06, 2006","16.34","16.43","16.57","16.01","14.10M","-1.03%"
"Jun 05, 2006","16.51","17.23","17.24","16.47","9.91M","-3.73%"
"Jun 02, 2006","17.15","17.20","17.33","16.93","16.62M","1.06%"
"Jun 01, 2006","16.97","16.92","17.00","16.64","14.00M","0.47%"
"May 31, 2006","16.89","16.76","17.01","16.68","17.51M","0.90%"
"May 30, 2006","16.74","17.05","17.12","16.63","13.98M","-2.56%"
"May 29, 2006","17.18","17.28","17.47","17.12","5.24M","-0.58%"
"May 26, 2006","17.28","16.89","17.31","16.72","14.44M","3.66%"
"May 25, 2006","16.67","16.68","16.75","16.35","17.21M","1.21%"
"May 24, 2006","16.47","16.39","16.66","16.03","18.25M","0.92%"
"May 23, 2006","16.32","16.67","17.08","16.32","17.82M","-1.09%"
"May 22, 2006","16.50","16.13","16.59","15.82","15.71M","-0.72%"
"May 19, 2006","16.62","16.92","17.01","16.21","14.05M","-0.48%"
"May 18, 2006","16.70","17.27","17.27","16.63","17.72M","-2.57%"
"May 17, 2006","17.14","17.45","17.72","16.90","13.38M","-2.94%"
"May 16, 2006","17.66","17.76","17.89","17.36","14.63M","0.68%"
"May 15, 2006","17.54","17.85","18.04","17.20","29.31M","-2.61%"
"May 12, 2006","18.01","17.91","18.12","17.85","14.27M","-0.94%"
"May 11, 2006","18.18","18.50","18.58","18.17","14.16M","-1.25%"
"May 10, 2006","18.41","18.43","18.47","18.24","9.79M","-0.43%"
"May 09, 2006","18.49","18.18","18.52","18.18","13.59M","1.26%"
"May 08, 2006","18.26","18.08","18.31","17.99","11.46M","0.16%"
"May 05, 2006","18.23","17.82","18.27","17.82","14.47M","2.13%"
"May 04, 2006","17.85","17.93","18.20","17.78","13.94M","-0.94%"
"May 03, 2006","18.02","18.05","18.05","17.63","12.85M","-0.22%"
"May 02, 2006","18.06","17.51","18.08","17.51","17.45M","1.75%"
"Apr 28, 2006","17.75","17.46","17.89","17.46","9.54M","1.84%"
"Apr 27, 2006","17.43","17.58","17.78","17.28","10.53M","-2.02%"
